EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
6.59,2.49,11.95,23.03,10909.0,0.92,"
											
											
												
				16.98
			
											
										",반도체와반도체장비,"1,677",15.37,KOSDAQ,화학,솔브레인,"""357780""",4.00,"
															250,000"
31.10,15.9,67.08,32.34,815.0,,"
											
											
												
				29.33
			
											
										",건강관리장비와용품,134,16.43,KOSDAQ,"의료,정밀기기",원텍,"""336570""",4.00,"
															10,320"
27.82,10.68,36.06,35.06,311.0,0.31,"
											
											
												
				14.38
			
											
										",건강관리장비와용품,115,36.88,KOSDAQ,"의료,정밀기기",비올,"""335890""",4.00,"
															7,150"
4.36,1.14,7.2,17.27,9848.0,1.23,"
											
											
												
				71.11
			
											
										",에너지장비및서비스,606,6.15,KOSPI,전기전자,HD현대에너지솔루션,"""322000""",4.00,"
															38,950"
49.27,6.37,248.87,2.61,460.0,,"
											
											
												
				230.75
			
											
										",건강관리장비와용품,15,3.16,KOSDAQ,제약,제테마,"""216080""",4.00,"
															20,350"
6.67,0.81,17.3,5.32,11596.0,1.51,"
											
											
												
				78.04
			
											
										",가구,294,2.53,KOSPI,미분류,지누스,"""013890""",4.00,"
															27,800"
12.73,3.35,18.05,20.42,623.0,,"
											
											
												
				100.99
			
											
										",디스플레이장비및부품,100,15.97,KOSDAQ,반도체,케이엔제이,"""272110""",4.00,"
															22,650"
116.11,4.52,612.2,0.74,3121.0,,"
											
											
												
				96.33
			
											
										",전기제품,39,1.24,KOSPI,전기전자,두산퓨얼셀,"""336260""",4.00,"
															28,900"
27.09,4.61,66.71,7.33,1290.0,,"
											
											
												
				91.04
			
											
										",건강관리장비와용품,80,6.17,KOSDAQ,"의료,정밀기기",레이,"""228670""",4.00,"
															36,750"
17.73,1.75,20.76,8.91,1110.0,,"
											
											
												
				46.85
			
											
										",디스플레이장비및부품,150,13.56,KOSDAQ,반도체,덕산테코피아,"""317330""",4.00,"
															18,140"
16.07,2.75,71.93,4.30,2012.0,0.42,"
											
											
												
				84.15
			
											
										",기계,100,4.95,KOSDAQ,"기계,장비",코윈테크,"""282880""",4.00,"
															35,450"
115.12,11.75,245.62,4.87,33019.0,0.17,"
											
											
												
				74.96
			
											
										",화학,"1,219",3.69,KOSPI,전기전자,포스코퓨처엠,"""003670""",4.00,"
															375,000"
10.61,2.22,28.84,8.00,27545.0,1.19,"
											
											
												
				75.76
			
											
										",IT서비스,"1,162",4.22,KOSPI,서비스업,현대오토에버,"""307950""",4.00,"
															119,800"
26.79,5.63,52.03,11.90,3289.0,0.23,"
											
											
												
				107.34
			
											
										",전기제품,428,13.03,KOSDAQ,화학,천보,"""278280""",4.00,"
															194,400"
9.70,2.23,34.53,6.71,581.0,,"
											
											
												
				75.77
			
											
										",방송과엔터테인먼트,54,9.37,KOSDAQ,"오락,문화",애니플러스,"""310200""",4.00,"
															4,080"
276.62,13.37,288.35,,673.0,,"
											
											
												
				166.40
			
											
										",생물공학,32,4.77,KOSDAQ,제약,에이비엘바이오,"""298380""",4.00,"
															19,450"
59.08,18.84,108.09,24.26,53576.0,0.49,"
											
											
												
				126.73
			
											
										",전기제품,"2,727",5.09,KOSDAQ,일반전기전자,에코프로비엠,"""247540""",3.53,"
															263,000"
28.42,2.7,56.65,4.91,757.0,,"
											
											
												
				43.52
			
											
										",전기제품,27,3.55,KOSDAQ,"기계,장비",이노메트리,"""302430""",4.00,"
															15,470"
14.29,3.21,28.08,11.97,267.0,0.6,"
											
											
												
				45.13
			
											
										",건강관리장비와용품,33,12.23,KOSDAQ,제약,원바이오젠,"""307280""",4.00,"
															2,470"
10.20,2.86,22.93,13.51,1105.0,0.98,"
											
											
												
				9.59
			
											
										",핸드셋,143,12.91,KOSDAQ,기타제조,노바텍,"""285490""",4.00,"
															36,000"
41.38,1.89,157.3,1.21,468.0,0.25,"
											
											
												
				117.47
			
											
										",전기제품,8,1.60,KOSDAQ,일반전기전자,에스퓨얼셀,"""288620""",4.00,"
															19,360"
10.36,0.96,91.28,1.07,35101.0,,"
											
											
												
				325.44
			
											
										",전기장비,291,0.83,KOSPI,전기전자,효성중공업,"""298040""",4.00,"
															100,000"
7.58,3.09,17.46,19.11,38414.0,4.5,"
											
											
												
				267.04
			
											
										",화학,"1,602",4.17,KOSPI,화학,효성첨단소재,"""298050""",4.00,"
															488,500"
8.97,1.42,150.65,0.88,88827.0,2.86,"
											
											
												
				185.04
			
											
										","섬유,의류,신발,호화품",192,0.22,KOSPI,화학,효성티앤씨,"""298020""",4.00,"
															403,500"
23.32,10.45,30.64,42.89,1165.0,,"
											
											
												
				47.73
			
											
										",건강관리장비와용품,270,23.18,KOSDAQ,"의료,정밀기기",제이시스메디칼,"""287410""",4.00,"
															11,660"
9.14,1.69,36.93,4.70,6104.0,1.48,"
											
											
												
				34.45
			
											
										",화장품,167,2.73,KOSPI,화학,애경산업,"""018250""",4.00,"
															23,150"
27.69,5.67,44.57,13.35,22840.0,0.22,"
											
											
												
				37.84
			
											
										",제약,"5,426",23.76,KOSPI,의약품,셀트리온,"""068270""",4.00,"
															163,900"
37.47,17.72,56.46,37.46,1315.0,,"
											
											
												
				146.03
			
											
										",화학,272,20.65,KOSDAQ,화학,레이크머티리얼즈,"""281740""",4.00,"
															23,200"
5.20,3.23,16.06,21.84,76158.0,1.95,"
											
											
												
				206.06
			
											
										",백화점과일반상점,"1,935",2.54,KOSPI,유통업,BGF리테일,"""282330""",4.00,"
															179,800"
3.28,0.98,7.76,13.66,3782.0,1.69,"
											
											
												
				13.46
			
											
										",반도체와반도체장비,554,14.64,KOSPI,의료정밀,케이씨텍,"""281820""",4.00,"
															20,600"
8.17,2.64,34.43,7.52,6979.0,,"
											
											
												
				65.07
			
											
										",방송과엔터테인먼트,506,7.25,KOSDAQ,"오락,문화",스튜디오드래곤,"""253450""",4.00,"
															58,000"
7.12,1.62,12.66,13.56,1823.0,1.72,"
											
											
												
				33.53
			
											
										",화학,189,10.39,KOSPI,화학,테이팩스,"""055490""",4.00,"
															50,800"
7.06,0.46,17.72,2.89,32033.0,1.88,"
											
											
												
				94.41
			
											
										",식품,439,1.37,KOSPI,음식료품,롯데웰푸드,"""280360""",4.00,"
															105,100"
7.95,1.37,21.5,6.55,4778.0,0.8,"
											
											
												
				113.20
			
											
										",전기제품,196,4.10,KOSDAQ,IT부품,신흥에스이씨,"""243840""",4.00,"
															46,300"
7.99,2.65,12.24,24.65,5685.0,1.81,"
											
											
												
				188.32
			
											
										",자동차부품,385,6.77,KOSDAQ,"운송장비,부품",모트렉스,"""118990""",4.00,"
															19,250"
20.49,2.8,33.96,8.65,612.0,,"
											
											
												
				22.95
			
											
										",출판,61,10.03,KOSDAQ,디지털컨텐츠,디앤씨미디어,"""263720""",4.00,"
															17,000"
48.10,5.44,77.62,7.06,19722.0,0.22,"
											
											
												
				116.05
			
											
										",제약,"1,472",7.46,KOSDAQ,도매,셀트리온헬스케어,"""091990""",4.00,"
															69,500"
16.94,2.17,16.36,13.54,71068.0,0.11,"
											
											
												
				69.70
			
											
										",양방향미디어와서비스,"10,626",14.95,KOSPI,서비스업,카카오,"""035720""",3.95,"
															49,700"
6.49,1.94,12.63,16.47,28732.0,0.74,"
											
											
												
				27.75
			
											
										",식품,"3,983",13.86,KOSPI,음식료품,오리온,"""271560""",4.00,"
															125,300"
3.14,0.27,3.48,10.12,137753.0,1.57,"
											
											
												
				162.26
			
											
										",식품,"5,690",4.13,KOSDAQ,금융,하림지주,"""003380""",4.00,"
															7,820"
