EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
10.16,7.95,16.18,65.14,315.0,,330.05,교육서비스,22,6.84,KOSDAQ,소프트웨어,유비온,"""084440""",,2070.0
5.80,1.4,9.96,16.34,440.0,,39.32,생명과학도구및서비스,53,11.94,KOSDAQ,"연구,개발",디티앤씨알오,"""383930""",,5140.0
39.36,9.93,45.26,29.10,2103.0,0.34,101.5,전자장비와기기,248,11.78,KOSDAQ,"기계,장비",윤성에프앤씨,"""372170""",,171400.0
-47.09,8.74,,-29.66,98.0,,10.33,기계,-82,-84.07,KOSDAQ,"기계,장비",뉴로메카,"""348340""",,33600.0
11.90,2.78,12.99,25.55,683.0,,37.09,반도체와반도체장비,109,16.00,KOSDAQ,반도체,제이아이테크,"""417500""",,5270.0
14.09,2.4,17.7,14.86,637.0,,36.8,반도체와반도체장비,67,10.54,KOSDAQ,반도체,티에프이,"""425420""",,12750.0
4.95,2.1,8.53,26.70,21193.0,6.28,35.7,디스플레이장비및부품,"2,337",11.03,KOSPI,전기전자,LX세미콘,"""108320""",4.00,122500.0
-222.70,1.01,92.64,,,,16.07,창업투자,0,,KOSDAQ,금융서비스,케이비제23호스팩,"""440200""",,2045.0
-332.69,1.31,100.63,,,,7.21,창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩25호,"""438580""",,2390.0
-344.68,1.22,451.35,,,,16.89,창업투자,0,,KOSDAQ,금융서비스,IBKS제20호스팩,"""439730""",,2395.0
-200.63,1.1,,,,,22.36,창업투자,-0,,KOSDAQ,금융서비스,교보13호스팩,"""440790""",,2200.0
5.57,1.6,19.32,9.25,596.0,4.0,43.4,반도체와반도체장비,64,10.79,KOSDAQ,전문기술,큐알티,"""405100""",,13910.0
7.48,1.63,8.1,25.32,184.0,1.4,19.65,소프트웨어,94,51.42,KOSDAQ,소프트웨어,산돌,"""419120""",,11890.0
14.07,2.6,16.5,17.22,461.0,,38.73,반도체와반도체장비,63,13.71,KOSDAQ,반도체,저스템,"""417840""",4.00,18890.0
-412.73,1.18,93.08,,,,6.36,창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩24호,"""437780""",,2180.0
"-1,054.44",1.07,67.45,,,,9.37,창업투자,1,,KOSDAQ,금융서비스,삼성스팩7호,"""439250""",,9990.0
"-2,534.81",1.0,53.52,,,,11.86,창업투자,2,,KOSDAQ,금융서비스,하나금융25호스팩,"""435620""",,9760.0
-19.98,3.98,,-29.59,88.0,,30.91,소프트웨어,-38,-42.95,KOSDAQ,소프트웨어,핀텔,"""291810""",,7630.0
-730.27,1.52,97.17,,,,7.78,창업투자,0,,KOSDAQ,금융서비스,한국제11호스팩,"""436610""",,2790.0
-8.27,12.37,,,133.0,,286.93,건강관리장비와용품,-177,-132.88,KOSDAQ,"의료,정밀기기",플라즈맵,"""405000""",,6540.0
26.94,1.79,46.44,4.45,168.0,,8.0,식품,11,6.55,KOSDAQ,"음식료,담배",오에스피,"""368970""",,6650.0
20.28,1.54,18.97,9.67,162.0,1.14,10.82,소프트웨어,21,13.24,KOSDAQ,소프트웨어,이노룰스,"""296640""",,9370.0
-279.65,10.78,,-36.75,75.0,,39.35,기계,-53,-70.50,KOSDAQ,"기계,장비",에스비비테크,"""389500""",,39900.0
-7.37,3.62,,-39.77,20.0,,20.05,제약,-107,-533.64,KOSDAQ,제약,샤페론,"""378800""",,4720.0
7.94,2.04,14.55,17.29,700.0,1.7,42.91,기계,77,11.02,KOSDAQ,"기계,장비",모델솔루션,"""417970""",,19910.0
33.94,5.26,38.68,17.23,630.0,,26.02,전자장비와기기,106,16.75,KOSDAQ,일반전기전자,탑머티리얼,"""360070""",,63500.0
45.19,4.02,,-38.88,240.0,,28.72,건강관리장비와용품,-45,-18.79,KOSDAQ,"의료,정밀기기",비스토스,"""419540""",,3025.0
41.62,2.66,,,1164.0,,91.22,핸드셋,-70,-6.05,KOSDAQ,IT부품,파인엠텍,"""441270""",4.00,9160.0
-223.12,1.2,58.09,,,,9.23,창업투자,0,,KOSDAQ,금융서비스,에스케이증권제8호스팩,"""435870""",,2345.0
-332.87,1.1,134.74,,,,13.31,창업투자,0,,KOSDAQ,금융서비스,유안타제10호스팩,"""435380""",,2190.0
7.93,1.02,19.0,5.53,1381.0,,90.0,제약,43,3.13,KOSDAQ,제약,알피바이오,"""314140""",,11380.0
21.14,2.53,36.22,8.24,2575.0,,15.36,전기제품,553,21.46,KOSDAQ,일반전기전자,더블유씨피,"""393890""",4.00,70200.0
152.22,6.05,159.74,4.43,74.0,0.45,79.95,생물공학,9,11.71,KOSDAQ,제약,선바이오,"""067370""",,11720.0
"-2,783.58",1.17,91.48,,,,13.39,창업투자,1,,KOSDAQ,금융서비스,하나금융24호스팩,"""430230""",,2200.0
-16.26,12.6,,-95.55,100.0,,67.0,반도체와반도체장비,-252,-251.97,KOSDAQ,소프트웨어,오픈엣지테크놀로지,"""394280""",,19200.0
-363.29,1.21,167.25,,,,17.37,창업투자,0,,KOSDAQ,금융서비스,하나금융23호스팩,"""427950""",,2360.0
-176.56,1.1,638.54,,,,16.6,창업투자,0,,KOSDAQ,금융서비스,케이비제22호스팩,"""436530""",,2170.0
-423.62,1.12,90.15,,,,13.13,창업투자,1,,KOSDAQ,금융서비스,신영스팩8호,"""430220""",,2180.0
-400.38,1.07,113.41,,,,14.97,창업투자,0,,KOSDAQ,금융서비스,키움제7호스팩,"""433530""",,2135.0
-376.37,1.14,,,,,14.71,창업투자,-0,,KOSDAQ,금융서비스,IBKS제19호스팩,"""426550""",,2325.0
11.95,1.84,49.31,4.67,1284.0,,129.55,기계,21,1.67,KOSDAQ,"기계,장비",대성하이텍,"""129920""",,9210.0
19.71,1.76,42.43,5.45,342.0,,22.51,전기제품,20,5.75,KOSDAQ,IT부품,에이치와이티씨,"""148930""",,9630.0
7.59,2.1,,-9.10,3976.0,,136.58,도로와철도운송,-181,-4.56,KOSPI,서비스업,쏘카,"""403550""",4.00,15920.0
33.92,6.62,47.23,19.80,481.0,0.39,41.88,전기제품,77,16.00,KOSDAQ,화학,새빗켐,"""107600""",,86000.0
