EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
10.56,2.28,15.88,15.11,417.0,3.14,"
											
											
												
				8.57
			
											
										",전자장비와기기,105,25.16,KOSDAQ,정보기기,엠투아이,"""347890""",,"
															9,910"
13.43,0.55,5.44,,,,,부동산,,,KOSPI,서비스업,이지스밸류리츠,"""334890""",4.00,"
															4,690"
4.34,1.98,9.73,21.68,513.0,4.75,"
											
											
												
				54.73
			
											
										",IT서비스,61,11.81,KOSDAQ,전문기술,엠브레인,"""169330""",,"
															3,240"
42.15,1.04,41.7,,,,,부동산,,,KOSPI,서비스업,코람코에너지리츠,"""357120""",3.67,"
															5,440"
128.99,3.21,109.11,2.90,329.0,0.58,"
											
											
												
				72.14
			
											
										",디스플레이장비및부품,-2,-0.55,KOSDAQ,IT부품,에스에이티이엔지,"""351320""",,"
															3,965"
73.34,3.1,23.96,14.41,379.0,1.36,"
											
											
												
				75.17
			
											
										",소프트웨어,39,10.21,KOSDAQ,"출판,매체복제",위세아이텍,"""065370""",,"
															14,100"
17.57,2.38,30.26,8.60,504.0,0.83,"
											
											
												
				81.53
			
											
										",통신장비,36,7.06,KOSDAQ,기타제조,RF머트리얼즈,"""327260""",,"
															12,430"
10.63,0.81,10.98,,,,,부동산,,,KOSPI,서비스업,NH프라임리츠,"""338100""",,"
															4,325"
28.41,10.88,36.76,35.06,311.0,0.31,"
											
											
												
				14.38
			
											
										",건강관리장비와용품,115,36.88,KOSDAQ,"의료,정밀기기",비올,"""335890""",4.00,"
															7,290"
37.14,0.85,66.79,,,,,부동산,,,KOSPI,서비스업,롯데리츠,"""330590""",3.75,"
															3,880"
9.38,1.2,18.6,6.67,261.0,0.92,"
											
											
												
				19.42
			
											
										",제약,41,15.56,KOSDAQ,"음식료,담배",팜스빌,"""318010""",,"
															9,530"
7.80,1.21,5.08,28.32,447.0,0.46,"
											
											
												
				68.20
			
											
										",소프트웨어,172,38.53,KOSDAQ,소프트웨어,아톤,"""158430""",,"
															19,810"
15.54,1.99,15.21,14.07,616.0,1.57,"
											
											
												
				79.98
			
											
										",전자장비와기기,27,4.36,KOSDAQ,일반전기전자,포커스에이치엔에스,"""331380""",,"
															2,180"
8.96,1.34,14.85,9.63,591.0,3.45,"
											
											
												
				10.59
			
											
										",가정용기기와용품,51,8.56,KOSDAQ,"기계,장비",한독크린텍,"""256150""",,"
															8,960"
20.15,2.82,30.61,9.77,243.0,1.75,"
											
											
												
				23.26
			
											
										",화학,33,13.36,KOSDAQ,화학,KBG,"""318000""",,"
															12,100"
31.67,2.41,89.03,2.71,548.0,0.66,"
											
											
												
				46.39
			
											
										",기계,13,2.35,KOSDAQ,"기계,장비",대모,"""317850""",,"
															13,790"
15.61,2.51,17.72,15.26,382.0,0.92,"
											
											
												
				12.02
			
											
										",디스플레이장비및부품,46,11.93,KOSDAQ,일반전기전자,프로이천,"""321260""",,"
															2,905"
14.04,3.16,27.57,11.97,267.0,0.6,"
											
											
												
				45.13
			
											
										",건강관리장비와용품,33,12.23,KOSDAQ,제약,원바이오젠,"""307280""",4.00,"
															2,425"
5.45,0.96,7.85,12.89,304.0,3.61,"
											
											
												
				8.40
			
											
										","호텔,레스토랑,레저",206,67.83,KOSDAQ,"오락,문화",남화산업,"""111710""",,"
															7,870"
13.95,4.22,18.17,25.82,607.0,1.08,"
											
											
												
				12.57
			
											
										",건강관리장비와용품,191,31.56,KOSDAQ,"의료,정밀기기",엠아이텍,"""179290""",,"
															10,990"
45.22,1.11,135.99,0.82,634.0,0.9,"
											
											
												
				53.34
			
											
										",창업투자,20,3.21,KOSDAQ,금융,아주IB투자,"""027360""",,"
															2,295"
59.29,7.76,167.23,4.97,526.0,0.22,"
											
											
												
				85.24
			
											
										",건강관리장비와용품,57,10.83,KOSDAQ,제약,엘앤씨바이오,"""290650""",,"
															33,500"
42.09,1.92,159.58,1.21,468.0,0.25,"
											
											
												
				117.47
			
											
										",전기제품,8,1.60,KOSDAQ,일반전기전자,에스퓨얼셀,"""288620""",4.00,"
															19,640"
11.66,1.2,13.83,9.16,223.0,1.41,"
											
											
												
				52.57
			
											
										",창업투자,83,37.15,KOSDAQ,금융,나우IB,"""293580""",,"
															1,199"
13.09,0.99,47.37,2.15,258.0,0.75,"
											
											
												
				17.61
			
											
										",소프트웨어,8,3.07,KOSDAQ,"출판,매체복제",디지캡,"""197140""",,"
															4,745"
50.27,1.17,52.37,,,,,부동산,,,KOSPI,서비스업,신한알파리츠,"""293940""",4.00,"
															6,100"
